Artist,Title,Location,Date,Sold,Selling Price,low_estimate,high_estimate,Category,Auction Name,Image
After Guido Reni ,Saint Mary Magdalene,London,2019,True,12302.37,3936.76,6561.26,Old Masters,STONE: Marble and Hardstones,https://sothebys-md.brightspotcdn.com/dims4/default/333f143/2147483647/strip/true/crop/2000x1975+0+0/resize/2048x2022!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fbd%2F70%2F629d13314f479472c44e7735535e%2F080l19317-bdw6q-1.jpg
After Guido Reni ,The Penitent Saint Peter,London,2019,True,2132.41,787.35,1049.8,Old Masters,Spetchley - Property from the Berkeley Collection,https://sothebys-md.brightspotcdn.com/dims4/default/ddeb820/2147483647/strip/true/crop/1631x2000+0+0/resize/2048x2511!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F64%2Fc9%2Fc6043d864b42b652a68d0d2017e6%2F100l19359-6v9bw-in-frame.jpg
Alessandro Allori,Christ Carrying The Cross,New York,2021,True,113400.0,100000.0,150000.0,Old Masters,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen",https://sothebys-md.brightspotcdn.com/dims4/default/9483584/2147483647/strip/true/crop/1393x2000+0+0/resize/2048x2940!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fa0%2F53%2F8255db9942ae8806776903f0922f%2F014n10762-byfht-04.jpg
Alessandro Allori,"Portrait Of A Lady In Black, Holding A Book, Three-Quarter Length",New York,2021,True,315000.0,150000.0,200000.0,Old Masters,Master Paintings,https://sothebys-md.brightspotcdn.com/dims4/default/eb61377/2147483647/strip/true/crop/1576x2000+0+0/resize/2048x2599!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F3a%2F28%2F5949eac445e1849dce18bf1d7970%2F052n10687-bs5dw-01-a.jpg
Alessandro Allori,"Portrait Of Joanna Of Austria (1547-1578), Bust Length, Facing Right",New York,2022,True,50400.0,40000.0,60000.0,Old Masters,Master Paintings & Sculpture Part I,https://sothebys-md.brightspotcdn.com/dims4/default/200504f/2147483647/strip/true/crop/1552x2000+0+0/resize/2048x2639!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F51%2F84%2Ff823aab044b48296b4529e80e696%2F045n10901-c38y3-01.jpg
Alessandro Tiarini,Joseph'S Bloodied Clothes Shown To Rachel And Jacob,New York,2022,True,564500.0,250000.0,350000.0,Old Masters,Master to Master: The Nelson Shanks Collection,https://sothebys-md.brightspotcdn.com/dims4/default/ffed9c2/2147483647/strip/true/crop/2000x1722+0+0/resize/2048x1763!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F43%2Fb1%2F381f9c2c4566aa8d687c3b94291a%2F042n10902-8fsxx-t1-04.jpg
Alessandro Tiarini,The Judgement Of Solomon; Daniel Defending Susanna,Paris,2021,True,111898.08,33303.0,55505.0,Old Masters,"Tableaux Dessins Sculptures 1300-1900, Session I",https://sothebys-md.brightspotcdn.com/dims4/default/a1b1bd3/2147483647/strip/true/crop/2000x1011+0+0/resize/2048x1035!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F4f%2Fce%2F89f6409b43ad9910973979d73902%2F600pf2109-br6wd-02.jpg
Anne Vallayer-Coster ,A Still Life Of Roses And Other Flowers In A Blue Vase With A Book,New York,2020,True,352800.0,300000.0,500000.0,Old Masters,The Collection of Ambassador and Mrs. Felix Rohatyn,https://sothebys-md.brightspotcdn.com/dims4/default/444bb22/2147483647/strip/true/crop/1464x1840+0+0/resize/2048x2574!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F81%2F97%2F664ac6b04840b08e943e20abd372%2Fn10385-33-76lfy-web.jpg
Anne Vallayer-Coster ,"Still Life Of Roses, Snowballs, Peonies And Hyacinths In A Glass On A Ledge",New York,2020,True,277200.0,100000.0,150000.0,Old Masters,The Collection of Ambassador and Mrs. Felix Rohatyn,https://sothebys-md.brightspotcdn.com/dims4/default/9173de0/2147483647/strip/true/crop/1552x1840+0+0/resize/2048x2428!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F33%2F94%2F726f25bd4891bdc608b5ca715d52%2Fn10385-5-76m32-web.jpg
Artemisia Gentileschi,"Portrait Of A Seated Lady, Three-Quarter Length, In An Elaborate And Gold-Embroidered Costume, Possibly Caterina Savelli, Principessa Di Albano",New York,2022,True,2682000.0,2000000.0,3000000.0,Old Masters,Master Paintings & Sculpture Part I,https://sothebys-md.brightspotcdn.com/dims4/default/e4055f9/2147483647/strip/true/crop/1506x2000+0+0/resize/2048x2720!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F8c%2Fb3%2F94541b1a40ca9115965605b24035%2F021n10901-c3nwb-t1-04.jpg
Artemisia Gentileschi,Susanna And The Elders,New York,2022,True,2137500.0,1800000.0,2500000.0,Old Masters,Master Paintings & Sculpture Part I,https://sothebys-md.brightspotcdn.com/dims4/default/3171f01/2147483647/strip/true/crop/1576x2000+0+0/resize/2048x2599!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Feb%2Ff8%2Fdba923724f8790346933de124d00%2F135n10901-c534t-01.jpg
Artemisia Gentileschi ,"A Female Martyr Saint, Probably Saint Catherine Of Alexandria",London,2019,True,246047.34,196837.87,262450.5,Old Masters,Old Masters Evening Sale | 西洋古典油畫晚拍,https://sothebys-md.brightspotcdn.com/dims4/default/796bfbd/2147483647/strip/true/crop/1646x2000+0+0/resize/2048x2488!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F22%2Fde%2F4417ac614b809bf3e90208e4ca1b%2F060l19036-bc2t3.jpg
Artemisia Gentileschi ,Bathsheba At Her Bath,New York,2020,True,740000.0,600000.0,800000.0,Old Masters,Master Paintings Evening Sale,https://sothebys-md.brightspotcdn.com/dims4/default/6197d27/2147483647/strip/true/crop/1526x2000+0+0/resize/2048x2684!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fa6%2Fcf%2F8752a56b44879944269b7c5bde45%2F350n10308-bg43b-comp.png
Bartolomé Esteban Murillo,Mater Dolorosa,London,2020,True,314153.25,131225.25,196837.87,Old Masters,Old Masters Evening Sale,https://sothebys-md.brightspotcdn.com/dims4/default/4bc0c4b/2147483647/strip/true/crop/1622x2000+0+0/resize/2048x2525!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F1c%2F12%2Fcf5d5060436db0cdf61ef2a3abd1%2Fl20036-blyjv-01.jpg
Bartolomé Esteban Murillo,The Virgin And Child,New York,2022,True,867000.0,600000.0,800000.0,Old Masters,Master Paintings & Sculpture Part I,https://sothebys-md.brightspotcdn.com/dims4/default/0e66c4e/2147483647/strip/true/crop/1484x2000+0+0/resize/2048x2760!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F5a%2Fa2%2Fd3cded164f77930f1b8738634e93%2F011n10901-bh55h-03.jpg
